Entity,Code,Year,Diabetes prevalence (% of population ages 20 to 79)
Afghanistan,AFG,2011,7.599999904632568
Afghanistan,AFG,2021,10.899999618530273
Albania,ALB,2011,2.799999952316284
Albania,ALB,2021,10.199999809265137
Algeria,DZA,2011,7
Algeria,DZA,2021,7.099999904632568
American Samoa,ASM,2021,20.299999237060547
Andorra,AND,2011,5.400000095367432
Andorra,AND,2021,9.699999809265137
Angola,AGO,2011,2.9000000953674316
Angola,AGO,2021,4.599999904632568
Antigua and Barbuda,ATG,2011,12.5
Antigua and Barbuda,ATG,2021,11.699999809265137
Argentina,ARG,2011,5.5
Argentina,ARG,2021,5.400000095367432
Armenia,ARM,2011,8.5
Armenia,ARM,2021,5.599999904632568
Aruba,ABW,2000,12.100000381469727
Aruba,ABW,2011,12.399999618530273
Aruba,ABW,2021,4.300000190734863
Australia,AUS,2000,0
Australia,AUS,2011,6.599999904632568
Australia,AUS,2021,6.400000095367432
Austria,AUT,2011,6.599999904632568
Austria,AUT,2021,4.599999904632568
Azerbaijan,AZE,2011,2.799999952316284
Azerbaijan,AZE,2021,5.599999904632568
Bahamas,BHS,2011,12.100000381469727
Bahamas,BHS,2021,8.800000190734863
Bahrain,BHR,2000,14.800000190734863
Bahrain,BHR,2011,19.5
Bahrain,BHR,2021,11.300000190734863
Bangladesh,BGD,2011,10.5
Bangladesh,BGD,2021,14.199999809265137
Barbados,BRB,2000,13.199999809265137
Barbados,BRB,2011,12.399999618530273
Barbados,BRB,2021,14
Belarus,BLR,2011,8
Belarus,BLR,2021,5.599999904632568
Belgium,BEL,2011,4.800000190734863
Belgium,BEL,2021,3.5999999046325684
Belize,BLZ,2011,17
Belize,BLZ,2021,14.5
Benin,BEN,2011,2
Benin,BEN,2021,1.100000023841858
Bermuda,BMU,2000,12.100000381469727
Bermuda,BMU,2011,12
Bermuda,BMU,2021,13
Bhutan,BTN,2011,5.699999809265137
Bhutan,BTN,2021,10.399999618530273
Bolivia,BOL,2011,6.599999904632568
Bolivia,BOL,2021,5.5
Bosnia and Herzegovina,BIH,2011,7.5
Bosnia and Herzegovina,BIH,2021,9.100000381469727
Botswana,BWA,2011,10.800000190734863
Botswana,BWA,2021,5.199999809265137
Brazil,BRA,2011,10.100000381469727
Brazil,BRA,2021,8.800000190734863
British Virgin Islands,VGB,2000,12.100000381469727
British Virgin Islands,VGB,2011,8.600000381469727
British Virgin Islands,VGB,2021,8.699999809265137
Brunei,BRN,2011,9.399999618530273
Brunei,BRN,2021,11.100000381469727
Bulgaria,BGR,2011,6.699999809265137
Bulgaria,BGR,2021,7.400000095367432
Burkina Faso,BFA,2011,3
Burkina Faso,BFA,2021,2.0999999046325684
Burundi,BDI,2011,2.700000047683716
Burundi,BDI,2021,6.5
Cambodia,KHM,2011,2.9000000953674316
Cambodia,KHM,2021,7.300000190734863
Cameroon,CMR,2000,0
Cameroon,CMR,2011,6.099999904632568
Cameroon,CMR,2021,5.5
Canada,CAN,2011,8.399999618530273
